taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
85,2016-1-13 06:15:00,2016-1-13 06:15:00,180,0.4,,,24.0,24.0,4.5,0.0,0.0,0.0,4.5,Cash,107.0,199.0,510.0,199.0,510.0
2776,2016-1-22 09:30:00,2016-1-22 09:45:00,240,0.7,,,,,4.45,4.45,0.0,0.0,8.9,Credit Card,,,,,
3168,2016-1-31 21:30:00,2016-1-31 21:30:00,0,0.0,,,,,42.75,5.0,0.0,0.0,47.75,Credit Card,119.0,,,,
4237,2016-1-23 17:30:00,2016-1-23 17:30:00,480,1.1,,,6.0,6.0,7.0,0.0,0.0,0.0,7.0,Cash,,686.0,500.0,686.0,500.0
5710,2016-1-14 05:45:00,2016-1-14 06:00:00,480,2.71,,,32.0,,10.25,0.0,0.0,0.0,10.25,Cash,,385.0,478.0,,
1987,2016-1-8 18:15:00,2016-1-8 18:45:00,1080,6.2,,,8.0,3.0,17.75,0.0,0.0,0.0,17.75,Cash,,599.0,346.0,660.0,120.0
4986,2016-1-14 04:30:00,2016-1-14 05:00:00,1500,18.4,,,,,45.0,12.0,0.0,0.0,57.0,Credit Card,,,,,
6400,2016-1-26 04:15:00,2016-1-26 04:15:00,60,0.2,,,16.0,16.0,3.75,0.0,0.0,0.0,3.75,Cash,107.0,527.0,24.0,527.0,24.0
7418,2016-1-22 11:30:00,2016-1-22 11:45:00,180,0.0,,504.0,8.0,32.0,5.0,2.0,0.0,1.5,8.5,Credit Card,82.0,210.0,470.0,744.0,605.0
6450,2016-1-7 21:15:00,2016-1-7 21:15:00,0,0.0,,,,,3.25,0.0,0.0,1.5,4.75,Cash,,,,,
1078,2016-1-25 09:00:00,2016-1-25 09:00:00,480,1.3,,792.0,8.0,8.0,7.0,1.0,0.0,0.0,8.0,Credit Card,109.0,161.0,649.0,419.0,615.0
6641,2016-1-6 23:15:00,2016-1-6 23:30:00,420,0.0,,807.0,8.0,28.0,7.25,0.0,0.0,0.0,7.25,Cash,8.0,419.0,615.0,411.0,545.0
920,2016-1-13 18:30:00,2016-1-13 19:00:00,1380,5.1,,,32.0,31.0,17.25,5.18,0.0,0.0,22.43,Credit Card,,385.0,478.0,558.0,388.0
7984,2016-1-22 09:45:00,2016-1-22 09:45:00,420,0.0,,749.0,8.0,28.0,6.25,0.0,0.0,0.0,6.25,Cash,107.0,419.0,615.0,681.0,196.0
6078,2016-1-3 07:45:00,2016-1-3 08:00:00,480,0.1,,,41.0,69.0,9.0,0.0,0.0,0.0,9.0,Cash,107.0,583.0,195.0,278.0,173.0
221,2016-1-3 16:30:00,2016-1-3 16:30:00,720,0.0,,807.0,7.0,28.0,10.75,0.0,0.0,0.0,10.75,Cash,101.0,642.0,32.0,411.0,545.0
6535,2016-1-25 10:30:00,2016-1-25 10:30:00,720,2.2,,40.0,7.0,28.0,10.0,0.0,0.0,0.0,10.0,Cash,92.0,618.0,407.0,395.0,408.0
5292,2016-1-29 08:15:00,2016-1-29 08:30:00,300,0.8,,,,,5.5,0.0,0.0,0.0,5.5,Cash,,,,,
5367,2016-1-11 14:00:00,2016-1-11 14:00:00,420,0.0,,,28.0,28.0,6.75,0.0,0.0,0.0,6.75,Cash,107.0,158.0,270.0,158.0,270.0
4251,2016-1-1 19:30:00,2016-1-1 19:45:00,660,4.1,,404.0,8.0,6.0,11.85,3.0,0.0,1.0,15.85,Credit Card,101.0,210.0,470.0,606.0,617.0
3428,2016-1-20 07:30:00,2016-1-20 07:45:00,720,2.5,,749.0,8.0,28.0,10.25,1.75,0.0,0.0,12.0,Credit Card,,167.0,754.0,681.0,196.0
5132,2016-1-8 19:30:00,2016-1-8 19:30:00,720,0.2,,108.0,32.0,24.0,12.25,2.0,0.0,1.0,15.25,Credit Card,8.0,18.0,610.0,472.0,207.0
8414,2016-1-2 13:30:00,2016-1-2 13:30:00,0,0.0,,,3.0,3.0,3.25,0.0,0.0,0.0,3.25,Cash,,660.0,120.0,660.0,120.0
2647,2016-1-15 19:30:00,2016-1-15 19:30:00,360,0.0,,13.0,8.0,8.0,6.5,0.0,0.0,0.0,6.5,Cash,107.0,754.0,410.0,474.0,204.0
2628,2016-1-19 11:15:00,2016-1-19 11:15:00,0,0.0,,,,,10.75,2.69,0.0,0.0,13.44,Credit Card,119.0,,,,
8613,2016-1-14 14:15:00,2016-1-14 14:45:00,1740,11.5,,960.0,32.0,56.0,31.25,0.0,0.0,4.0,35.25,Cash,,18.0,610.0,433.0,757.0
4126,2016-1-23 21:45:00,2016-1-23 21:45:00,360,0.0,,504.0,8.0,32.0,6.0,0.0,0.0,0.0,6.0,Cash,101.0,688.0,206.0,744.0,605.0
3102,2016-1-17 21:00:00,2016-1-17 21:00:00,0,0.0,,,,,22.0,1.5,0.0,0.0,23.5,Credit Card,119.0,,,,
4488,2016-1-23 21:00:00,2016-1-23 21:30:00,2040,17.4,,,8.0,,44.75,8.95,0.0,0.0,53.7,Credit Card,,599.0,346.0,,
146,2016-1-17 01:00:00,2016-1-17 01:00:00,180,0.7,,,,,5.0,2.0,0.0,0.0,7.0,Credit Card,109.0,,,,
373,2016-1-2 17:45:00,2016-1-2 17:45:00,240,0.6,,504.0,8.0,32.0,4.85,0.0,0.0,1.5,6.35,Cash,109.0,688.0,206.0,744.0,605.0
5540,2016-1-13 19:00:00,2016-1-13 19:15:00,600,0.9,,959.0,8.0,8.0,7.0,1.11,0.0,0.0,8.11,Credit Card,92.0,754.0,410.0,167.0,754.0
2913,2016-1-12 15:30:00,2016-1-12 15:45:00,840,0.4,,,41.0,8.0,20.0,2.0,0.0,0.0,22.0,Credit Card,107.0,583.0,195.0,599.0,346.0
5680,2016-1-1 14:30:00,2016-1-1 14:45:00,1020,7.8,,,8.0,4.0,18.85,0.0,0.0,0.0,18.85,Cash,10.0,599.0,346.0,399.0,780.0
4545,2016-1-1 00:00:00,2016-1-1 00:00:00,0,0.0,,179.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,Cash,119.0,30.0,405.0,30.0,405.0
