taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,fare,tips,trip_total,payment_type
85,2016-1-13 06:15:00,2016-1-13 06:15:00,180,0.4,4.5,0.0,4.5,Cash
2776,2016-1-22 09:30:00,2016-1-22 09:45:00,240,0.7,4.45,4.45,8.9,Credit Card
3168,2016-1-31 21:30:00,2016-1-31 21:30:00,0,0.0,42.75,5.0,47.75,Credit Card
4237,2016-1-23 17:30:00,2016-1-23 17:30:00,480,1.1,7.0,0.0,7.0,Cash
5710,2016-1-14 05:45:00,2016-1-14 06:00:00,480,2.71,10.25,0.0,10.25,Cash
1987,2016-1-8 18:15:00,2016-1-8 18:45:00,1080,6.2,17.75,0.0,17.75,Cash
4986,2016-1-14 04:30:00,2016-1-14 05:00:00,1500,18.4,45.0,12.0,57.0,Credit Card
6400,2016-1-26 04:15:00,2016-1-26 04:15:00,60,0.2,3.75,0.0,3.75,Cash
7418,2016-1-22 11:30:00,2016-1-22 11:45:00,180,0.0,5.0,2.0,7.0,Credit Card
6450,2016-1-7 21:15:00,2016-1-7 21:15:00,0,0.0,3.25,0.0,3.25,Cash
1078,2016-1-25 09:00:00,2016-1-25 09:00:00,480,1.3,7.0,1.0,8.0,Credit Card
6641,2016-1-6 23:15:00,2016-1-6 23:30:00,420,0.0,7.25,0.0,7.25,Cash
920,2016-1-13 18:30:00,2016-1-13 19:00:00,1380,5.1,17.25,5.18,22.43,Credit Card
7984,2016-1-22 09:45:00,2016-1-22 09:45:00,420,0.0,6.25,0.0,6.25,Cash
6078,2016-1-3 07:45:00,2016-1-3 08:00:00,480,0.1,9.0,0.0,9.0,Cash
221,2016-1-3 16:30:00,2016-1-3 16:30:00,720,0.0,10.75,0.0,10.75,Cash
6535,2016-1-25 10:30:00,2016-1-25 10:30:00,720,2.2,10.0,0.0,10.0,Cash
5292,2016-1-29 08:15:00,2016-1-29 08:30:00,300,0.8,5.5,0.0,5.5,Cash
5367,2016-1-11 14:00:00,2016-1-11 14:00:00,420,0.0,6.75,0.0,6.75,Cash
4251,2016-1-1 19:30:00,2016-1-1 19:45:00,660,4.1,11.85,3.0,14.85,Credit Card
3428,2016-1-20 07:30:00,2016-1-20 07:45:00,720,2.5,10.25,1.75,12.0,Credit Card
5132,2016-1-8 19:30:00,2016-1-8 19:30:00,720,0.2,12.25,2.0,14.25,Credit Card
8414,2016-1-2 13:30:00,2016-1-2 13:30:00,0,0.0,3.25,0.0,3.25,Cash
2647,2016-1-15 19:30:00,2016-1-15 19:30:00,360,0.0,6.5,0.0,6.5,Cash
2628,2016-1-19 11:15:00,2016-1-19 11:15:00,0,0.0,10.75,2.69,13.44,Credit Card
8613,2016-1-14 14:15:00,2016-1-14 14:45:00,1740,11.5,31.25,0.0,31.25,Cash
4126,2016-1-23 21:45:00,2016-1-23 21:45:00,360,0.0,6.0,0.0,6.0,Cash
3102,2016-1-17 21:00:00,2016-1-17 21:00:00,0,0.0,22.0,1.5,23.5,Credit Card
4488,2016-1-23 21:00:00,2016-1-23 21:30:00,2040,17.4,44.75,8.95,53.7,Credit Card
146,2016-1-17 01:00:00,2016-1-17 01:00:00,180,0.7,5.0,2.0,7.0,Credit Card
373,2016-1-2 17:45:00,2016-1-2 17:45:00,240,0.6,4.85,0.0,4.85,Cash
5540,2016-1-13 19:00:00,2016-1-13 19:15:00,600,0.9,7.0,1.11,8.11,Credit Card
2913,2016-1-12 15:30:00,2016-1-12 15:45:00,840,0.4,20.0,2.0,22.0,Credit Card
5680,2016-1-1 14:30:00,2016-1-1 14:45:00,1020,7.8,18.85,0.0,18.85,Cash
4545,2016-1-1 00:00:00,2016-1-1 00:00:00,0,0.0,0.0,0.0,0.0,Cash
5391,2016-1-13 05:30:00,2016-1-13 05:30:00,420,2.8,9.5,0.0,9.5,Cash
5901,2016-1-16 02:45:00,2016-1-16 02:45:00,360,0.0,7.0,2.0,9.0,Credit Card
4316,2016-1-21 20:30:00,2016-1-21 20:45:00,360,1.3,6.5,2.0,8.5,Credit Card
6468,2016-1-14 11:45:00,2016-1-14 11:45:00,540,0.78,7.0,0.0,7.0,Cash
3329,2016-1-11 09:30:00,2016-1-11 09:30:00,0,0.0,3.25,0.65,3.9,Unknown
8102,2016-1-18 15:45:00,2016-1-18 16:00:00,480,1.6,7.75,0.0,7.75,Cash
3786,2016-1-26 14:00:00,2016-1-26 14:00:00,180,0.6,4.75,0.0,4.75,Cash
2862,2016-1-12 21:45:00,2016-1-12 21:45:00,0,0.0,3.25,0.0,3.25,Cash
7145,2016-1-15 13:15:00,2016-1-15 13:15:00,360,0.9,6.25,2.0,8.25,Credit Card
7744,2016-1-13 16:00:00,2016-1-13 16:00:00,120,0.2,4.0,0.0,4.0,Cash
8191,2016-1-19 08:30:00,2016-1-19 08:30:00,480,0.0,8.5,2.0,10.5,Credit Card
1727,2016-1-12 17:45:00,2016-1-12 18:00:00,720,1.3,9.0,1.0,10.0,Credit Card
6907,2016-1-7 16:00:00,2016-1-7 16:00:00,420,1.4,7.0,0.0,7.0,Cash
8162,2016-1-14 18:15:00,2016-1-14 19:00:00,2880,17.3,43.5,9.5,53.0,Credit Card
8618,2016-1-16 03:00:00,2016-1-16 03:00:00,420,0.0,7.0,0.0,7.0,Cash
5178,2016-1-23 23:15:00,2016-1-23 23:30:00,960,3.5,12.5,0.0,12.5,Cash
8247,2016-1-2 17:00:00,2016-1-2 17:00:00,360,0.9,6.25,0.0,6.25,Cash
8591,2016-1-3 03:30:00,2016-1-3 03:45:00,360,1.2,6.5,2.0,8.5,Credit Card
4751,2016-1-4 11:15:00,2016-1-4 11:15:00,360,0.8,5.45,1.0,6.45,Credit Card
2438,2016-1-6 01:30:00,2016-1-6 01:45:00,900,5.5,15.25,0.0,15.25,Cash
5209,2016-1-14 16:00:00,2016-1-14 16:00:00,480,1.2,7.0,1.0,8.0,Credit Card
1005,2016-1-1 22:15:00,2016-1-1 22:30:00,540,3.8,10.85,0.0,10.85,Cash
746,2016-1-18 14:15:00,2016-1-18 15:00:00,2940,21.1,52.25,0.0,52.25,Cash
7271,2016-1-8 10:00:00,2016-1-8 10:15:00,420,1.3,6.75,0.0,6.75,Cash
6075,2016-1-10 02:45:00,2016-1-10 02:45:00,240,0.9,5.5,0.0,5.5,Cash
7837,2016-1-24 19:00:00,2016-1-24 19:45:00,2100,13.6,36.25,8.05,44.3,Credit Card
7056,2016-1-12 20:30:00,2016-1-12 20:30:00,0,0.0,15.75,3.94,19.69,Credit Card
5810,2016-1-21 19:15:00,2016-1-21 19:15:00,240,0.87,5.5,2.0,7.5,Credit Card
5258,2016-1-14 09:15:00,2016-1-14 09:30:00,480,1.4,7.25,0.0,7.25,Cash
3567,2016-1-5 09:15:00,2016-1-5 09:45:00,1020,1.4,11.25,0.0,11.25,Cash
65,2016-1-13 19:15:00,2016-1-13 19:30:00,660,2.1,9.0,0.0,9.0,Cash
1474,2016-1-22 17:15:00,2016-1-22 17:45:00,1320,5.7,18.75,3.75,22.5,Credit Card
2924,2016-1-9 23:15:00,2016-1-9 23:15:00,780,4.5,14.0,0.0,14.0,Cash
433,2016-1-5 21:45:00,2016-1-5 21:45:00,0,0.0,3.25,5.0,8.25,Credit Card
4605,2016-1-18 15:15:00,2016-1-18 15:15:00,300,0.5,5.25,0.0,5.25,Cash
2353,2016-1-3 02:30:00,2016-1-3 02:30:00,0,0.0,8.0,0.0,8.0,Credit Card
8353,2016-1-12 17:30:00,2016-1-12 17:45:00,720,1.5,8.75,0.0,8.75,Cash
1748,2016-1-21 19:30:00,2016-1-21 19:30:00,360,0.0,6.25,0.0,6.25,Cash
6046,2016-1-9 23:15:00,2016-1-9 23:45:00,1560,9.7,27.25,0.0,27.25,Cash
1671,2016-1-7 19:30:00,2016-1-7 20:00:00,1560,6.9,21.25,3.0,24.25,Credit Card
7215,2016-1-9 02:45:00,2016-1-9 02:45:00,420,1.7,7.5,0.0,7.5,Cash
5272,2016-1-20 21:00:00,2016-1-20 21:00:00,540,200.0,8.75,2.0,10.75,Credit Card
8285,2016-1-2 22:15:00,2016-1-2 22:15:00,180,0.0,5.25,0.0,5.25,Cash
6628,2016-1-26 23:00:00,2016-1-26 23:15:00,960,7.6,21.0,0.0,21.0,Cash
7152,2016-1-29 18:30:00,2016-1-29 18:30:00,0,0.0,12.25,2.45,14.7,Credit Card
2043,2016-1-12 10:30:00,2016-1-12 10:45:00,660,1.0,7.5,2.0,9.5,Credit Card
7310,2016-1-25 21:45:00,2016-1-25 21:45:00,300,1.0,6.0,0.0,6.0,Cash
7152,2016-1-22 17:15:00,2016-1-22 17:15:00,0,0.0,4.25,1.06,5.31,Credit Card
6016,2016-1-11 23:30:00,2016-1-11 23:30:00,0,0.0,3.25,0.0,3.25,Cash
734,2016-1-24 06:15:00,2016-1-24 06:30:00,420,0.0,6.25,0.0,6.25,Credit Card
2979,2016-1-23 20:45:00,2016-1-23 21:00:00,900,3.8,13.0,0.0,13.0,Cash
6088,2016-1-12 08:15:00,2016-1-12 08:30:00,360,0.8,5.75,0.0,5.75,Cash
2331,2016-1-22 00:00:00,2016-1-22 00:15:00,600,5.5,16.5,0.0,16.5,Cash
2147,2016-1-15 10:00:00,2016-1-15 10:15:00,900,7.0,20.25,2.0,22.25,Credit Card
4298,2016-1-5 02:30:00,2016-1-5 02:45:00,300,0.0,6.5,0.0,6.5,Cash
2542,2016-1-20 17:15:00,2016-1-20 17:15:00,0,0.0,14.25,2.85,17.1,Credit Card
5018,2016-1-12 13:30:00,2016-1-12 13:30:00,720,3.7,12.5,2.5,15.0,Credit Card
1603,2016-1-8 22:00:00,2016-1-8 22:15:00,900,0.3,18.0,3.6,21.6,Credit Card
8169,2016-1-19 17:30:00,2016-1-19 18:15:00,2760,18.3,46.25,10.05,56.3,Credit Card
8394,2016-1-17 07:45:00,2016-1-17 08:00:00,420,1.9,8.25,2.0,10.25,Credit Card
6535,2016-1-9 11:15:00,2016-1-9 11:30:00,1500,18.2,45.25,0.0,45.25,Cash
3047,2016-1-17 19:15:00,2016-1-17 19:15:00,0,0.0,6.75,1.35,8.1,Credit Card
7330,2016-1-23 09:15:00,2016-1-23 09:30:00,420,2.1,8.25,0.0,8.25,Cash
1952,2016-1-28 09:00:00,2016-1-28 09:15:00,420,1.3,7.0,0.0,7.0,Cash
3993,2016-1-20 08:30:00,2016-1-20 09:00:00,1800,5.1,18.25,3.65,21.9,Credit Card
6966,2016-1-21 04:00:00,2016-1-21 04:00:00,120,0.0,4.0,0.0,4.0,Cash
4950,2016-1-4 21:30:00,2016-1-4 21:45:00,960,0.3,17.25,3.45,20.7,Credit Card
3742,2016-1-9 20:15:00,2016-1-9 20:30:00,840,2.7,10.75,0.0,10.75,Cash
3690,2016-1-10 19:00:00,2016-1-10 19:00:00,0,0.0,46.5,4.0,50.5,Credit Card
5487,2016-1-16 23:00:00,2016-1-16 23:15:00,840,3.2,12.0,0.0,12.0,Cash
7956,2016-1-26 19:00:00,2016-1-26 19:00:00,0,0.0,14.25,0.0,14.25,Credit Card
5224,2016-1-24 00:00:00,2016-1-24 00:15:00,780,3.1,11.75,0.0,11.75,Cash
8264,2016-1-29 12:45:00,2016-1-29 13:00:00,660,2.0,9.25,0.0,9.25,Cash
1535,2016-1-10 12:30:00,2016-1-10 12:30:00,420,1.2,7.0,0.0,7.0,Cash
6411,2016-1-17 09:15:00,2016-1-17 09:30:00,480,0.0,9.0,0.0,9.0,Credit Card
8271,2016-1-9 00:15:00,2016-1-9 00:30:00,180,0.8,5.25,3.0,8.25,Credit Card
6577,2016-1-4 13:45:00,2016-1-4 14:00:00,1320,17.6,43.0,0.0,43.0,Cash
495,2016-1-2 21:15:00,2016-1-2 21:15:00,0,0.0,10.65,2.13,12.78,Credit Card
5971,2016-1-26 16:00:00,2016-1-26 16:30:00,1980,18.1,45.5,10.1,55.6,Credit Card
2527,2016-1-15 21:15:00,2016-1-15 21:15:00,540,1.8,8.75,2.0,10.75,Credit Card
3060,2016-1-8 19:15:00,2016-1-8 19:15:00,540,1.7,7.45,0.0,7.45,Cash
5412,2016-1-19 09:45:00,2016-1-19 10:00:00,720,0.1,8.25,2.55,10.8,Credit Card
1947,2016-1-30 21:45:00,2016-1-30 22:00:00,840,5.4,16.25,0.0,16.25,Cash
4545,2016-1-11 18:00:00,2016-1-11 18:00:00,0,0.0,6.5,1.3,7.8,Credit Card
2197,2016-1-31 20:45:00,2016-1-31 20:45:00,240,0.8,5.5,0.0,5.5,Cash
6372,2016-1-12 20:15:00,2016-1-12 20:15:00,0,0.0,11.25,2.25,13.5,Credit Card
1222,2016-1-3 13:15:00,2016-1-3 13:30:00,1020,0.2,13.75,2.95,16.7,Credit Card
8620,2016-1-20 10:30:00,2016-1-20 10:30:00,0,0.0,6.25,1.25,7.5,Credit Card
5018,2016-1-25 20:15:00,2016-1-25 20:15:00,480,2.8,10.0,0.0,10.0,Cash
812,2016-1-5 04:30:00,2016-1-5 04:45:00,840,0.1,11.25,0.0,11.25,Cash
322,2016-1-23 02:15:00,2016-1-23 02:15:00,0,0.0,10.75,2.15,12.9,Credit Card
6003,2016-1-1 12:30:00,2016-1-1 12:45:00,420,1.4,6.25,1.0,7.25,Credit Card
5257,2016-1-4 12:45:00,2016-1-4 12:45:00,420,1.3,6.5,0.0,6.5,Cash
2330,2016-1-29 11:00:00,2016-1-29 11:00:00,540,0.0,7.5,0.0,7.5,Cash
8020,2016-1-24 00:45:00,2016-1-24 00:45:00,180,1.1,5.75,2.0,7.75,Credit Card
790,2016-1-17 00:00:00,2016-1-17 00:00:00,60,0.0,3.75,0.0,3.75,Cash
2736,2016-1-29 17:45:00,2016-1-29 17:45:00,480,0.0,6.25,2.0,8.25,Credit Card
1990,2016-1-4 14:45:00,2016-1-4 14:45:00,0,0.0,3.25,0.0,3.25,Cash
5950,2016-1-11 10:00:00,2016-1-11 10:15:00,360,1.2,6.5,2.0,8.5,Credit Card
1660,2016-1-7 17:15:00,2016-1-7 17:15:00,240,0.5,4.75,0.0,4.75,Cash
2282,2016-1-11 12:30:00,2016-1-11 12:30:00,300,1.1,6.25,1.0,7.25,Credit Card
